# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Pb		L2N2	14437.5	3.7	14441.7	7.5						1d
Rn	222	L2M5	14443.7	1.4								
Bk	249	L3M3	14457.4	2.4	14475	55						70d
Bk	250	L3M3	14457.4	2.4								
Fr	223	L3N5	14458.6	2.6	14450	50						1d
Hg		L1N4	14465.5	3.6								
Hg		L1N5	14484.8	1.7	14474.3	1.8						1d
Tl		L1N1	14500.4	4.3	14502.6	2.5						1d
Th	232	L2M1	14509.0	2.6	14510.327	0.080						75d
Rn	222	L1M3	14518.9	3.3	14511.7	2.3						1d
Pb		L2N3	14555.3	2.9	14553.3	1.8						1d
Ra	226	L3N3	14565.9	2.6	14565.6	2.5						1d
Tl		L2N6	14575.0	1.6	14577.9	1.3						1d
At	210	L1M4	14578.8	2.5								
Tl		L2N7	14579.4	1.6								
Ac	227	L3N1	14602.4	2.9								
Am	241	L3M5	14617.5	1.4	14617.33	0.23						1d
Am	243	L3M5	14617.5	1.4								
Rn	222	L3 edge	14619.53	0.43								
Tl		L1N2	14626.7	4.7	14625.2	1.3						1d
Y		KL1	14667.13	0.99								
Ra	226	L2M3	14698.7	2.4	14693.3	2.6						1d
At	210	L1M5	14699.7	2.4								
Tl		L2 edge	14705.47	0.56	14700.3	2.6	14698.6	1.3				1d
Tl		L1N3	14736.2	3.8	14737.0	1.0						1d
Hg		L1N6	14739.1	2.6								
Hg		L1N7	14743.2	2.6								
Cm	245	L3M4	14743.9	1.4								
Cm	248	L3M4	14743.9	1.4								
Ra	226	L1M2	14749.3	3.3	14747.3	1.3						1d
Ac	227	L3N2	14759.9	3.9								
Pb		L2N4	14764.4	2.7	14764.55	0.78						1d
Fr	223	L3N6	14766.6	1.7								
Fr	223	L2M4	14769.1	1.5	14770.4	2.3						1d
Bi	209	L2N1	14773.5	3.4	14773.3	1.3						1d
Fr	223	L3N7	14773.6	1.6								
Pb		L2N5	14786.6	2.6	14791.5	5.2						1d
Cf	251	L3M3	14795.1	2.4	14797	12						72d
Cf	250	L3M3	14795.2	2.4	14785.0	8.5						71d
Cf	249	L3M3	14795.4	2.4								
Ra	226	L3N4	14809.3	2.8	14808.8	1.3						1d
Ra	226	L3N5	14842.6	2.8	14841.6	1.3						1d
Ac	227	L1M1	14845.8	3.3								
Hg		L1 edge	14850.8	1.5	14842.8	2.6	14840.2	7.6				1d
Th	232	L2M2	14860.6	2.3	14869.6	2.6						1d
Rb		KM1	14878.6	1.2								
Y		KL2	14883.00	0.58	14882.94	0.26						1d
Fr	223	L2M5	14904.1	1.5								
Bi	209	L2N2	14907.1	3.8	14859	24						1d
Tl		L1N4	14940.4	3.7	14937.4	1.9						1d
Ac	227	L3N3	14947.0	2.6								
Pa	231	L2M1	14948.8	2.6	14946.6	2.7						1d
Rb		KM2	14952.7	1.3	14951.86	0.80						1d
Y		KL3	14958.14	0.53	14958.54	0.27						1d
Cm	245	L3M5	14959.9	1.4								
Cm	248	L3M5	14959.9	1.4								
Tl		L1N5	14960.9	3.6	14959.4	1.3						1d
Rb		KM3	14961.6	1.2	14961.42	0.53						1d
Pb		L1N1	14969.4	4.3	14963.0	1.9						1d
Th	232	L3N1	14972.0	2.9	14973.424	0.050						75d
Fr	223	L1M3	14977.9	3.4	14975.7	2.4						1d
Bi	209	L2N3	15032.6	2.8	15031.8	2.7						1d
Fr	223	L3 edge	15033.78	0.44			15027	50				
Rn	222	L1M4	15035.4	2.5								
Pb		L2N6	15056.1	1.6	15060	19						1d
Pb		L2N7	15061.0	1.6								
Bk	249	L3M4	15080.3	1.4								
Bk	250	L3M4	15080.3	1.4								
Rb		KM4	15088.21	0.76	15084.8	2.7					KM4,5	1d
Rb		KM5	15089.65	0.75	15084.8	2.7					KM4,5	1d
Pb		L1N2	15099.1	4.6	15101.4	5.4						1d
Es	251	L3M3	15129.6	2.4								
Th	232	L3N2	15133.2	3.9	15132.2	1.3						1,61d
Ra	226	L3N6	15157.9	1.8	15145.7	2.7					L3N6,7	1d
Rn	222	L1M5	15163.1	2.4								
Ra	226	L3N7	15165.2	1.6	15145.7	2.7					L3N6,7	1d
Ac	227	L2M3	15166.0	2.5								
Rb		KN1	15166.8	2.0								
Rb		KN2	15185.59	0.61	15185.54	0.83					KN2,3	1d
Rb		KN3	15186.55	0.61	15185.54	0.83					KN2,3	1d
Ac	227	L1M2	15190.3	3.3								
Ac	227	L3N4	15194.9	2.6								
Rb		KN4			15205.1	5.5					KN4,5	1d
Rb		KN5			15205.1	5.5					KN4,5	1d
Pb		L2 edge	15206.12	0.56	15198.993	0.030	15198.7	3.4				13d
Rb		K edge	15207.74	0.22	15202.5	1.4	15201.5	2.0				1d
Pb		L1N3	15216.9	3.9	15218.2	2.8						1d
Tl		L1N6	15222.7	2.6								
Tl		L1N7	15227.1	2.5								
Ac	227	L3N5	15230.4	2.6								
Ra	226	L2M4	15234.0	1.5	15235.9	1.4						1d
Bi	209	L2N4	15247.7	2.8	15247.92	0.56						1d
Po	209	L2N1	15251.0	3.4								
Bi	209	L2N5	15271.2	2.7								
Th	232	L1M1	15289.0	3.3								
Bk	249	L3M5	15306.9	1.3								
Bk	250	L3M5	15306.9	1.3								
Pa	231	L2M2	15307.6	2.4								
Th	232	L3N3	15332.9	2.6	15334.0	1.2						1,61d
Tl		L1 edge	15353.1	1.5	15342.4	2.8	15345.6	2.9				1d
Pa	231	L3N1	15358.4	2.9	15346.2	2.8						1d
Ra	226	L2M5	15376.4	1.5								
Po	209	L2N2	15388.3	3.9								
U	233	L2M1	15398.9	2.5								
U	238	L2M1	15399.0	2.5	15399.81	0.57						1d
Pb		L1N4	15426.0	3.7	15427.6	2.0						1d
Cf	251	L3M4	15428.3	1.4	15434	69						72d
Cf	250	L3M4	15428.4	1.4								
Cf	249	L3M4	15428.6	1.4								
Pb		L1N5	15448.1	3.6	15452.8	2.6						1d
Ra	226	L1M3	15448.4	3.4	15445.1	1.4						1d
Bi	209	L1N1	15449.3	4.3	15455.3	2.9						1d
Ra	226	L3 edge	15454.32	0.45	15443.7	2.8	15444.59	0.84				1d
Zr		KL1	15467.0	1.0								
Fm	254	L3M3	15467.1	2.4	15460.0	9.9						74d
Fr	223	L1M4	15503.6	2.6								
Po	209	L2N3	15522.7	2.8								
Pa	231	L3N2	15522.8	3.9								
Bi	209	L2N6	15548.3	1.7	15552.0	2.6						1d
Bi	209	L2N7	15553.5	1.6								
Ac	227	L3N6	15554.5	2.0								
Ac	227	L3N7	15562.1	1.6								
Bi	209	L1N2	15582.9	4.8	15582.52	0.87						1d
Th	232	L3N4	15586.3	2.5	15586.910	0.070						75d
Th	232	L3N5	15624.2	2.6	15623.960	0.030						75d
Fr	223	L1M5	15638.6	2.5								
Th	232	L1M2	15640.6	3.3	15639.54	0.35						75d
Th	232	L2M3	15645.3	2.5	15643.1	1.2						1d
Cf	251	L3M5	15665.8	1.3	15654	69						72d
Cf	250	L3M5	15666.0	1.3								
Cf	249	L3M5	15666.2	1.3								
Zr		KL2	15690.61	0.60	15690.645	0.050						3d
Bi	209	L1N3	15708.4	3.8	15710.5	1.5						1d
Ac	227	L2M4	15710.8	1.6	15713.3	2.7						1d
Pb		L1N6	15717.7	2.6	15725.8	3.0					L1N6,7	1d
Bi	209	L2 edge	15719.65	0.57	15719.8	2.9	15712.1	1.8				1d
Pb		L1N7	15722.6	2.6	15725.8	3.0					L1N6,7	1d
U	233	L3N1	15726.5	3.0								
U	238	L3N1	15726.8	3.0	15726.21	0.59						1d
Pa	231	L3N3	15735.8	2.6								
At	210	L2N1	15739.4	3.3								
Po	209	L2N4	15743.2	2.8	15744.2	2.7						1d
Pa	231	L1M1	15744.4	3.3								
Sr		KM1	15748.1	1.2								
U	233	L2M2	15765.1	2.4								
U	238	L2M2	15765.1	2.4								
Po	209	L2N5	15768.4	2.7								
Es	251	L3M4	15773.2	1.4								
Zr		KL3	15774.87	0.54	15774.914	0.054						3d
Sr		KM2	15826.2	1.3	15825.17	0.90						1d
Sr		KM3	15836.3	1.2	15835.89	0.60						1d
Np	237	L2M1	15860.5	2.6	15864	21						64d
Ac	227	L2M5	15861.1	1.5								
Pb		L1 edge	15867.7	1.5	15857.993	0.100	15860.5	4.8				13d
Ac	227	L3 edge	15879.45	0.46								
At	210	L2N2	15880.6	4.0								
U	233	L3N2	15895.4	4.0								
U	238	L3N2	15895.6	4.0	15895.63	0.99						1,62d
Bi	209	L1N4	15923.5	3.8	15905	15						1d
Ac	227	L1M3	15931.1	3.4	15931.5	2.7						1d
Po	209	L1N1	15941.2	4.3								
Bi	209	L1N5	15947.0	3.7	15950.8	1.5						1d
Th	232	L3N6	15966.9	2.1	15955.85	0.58					L3N6,7	75d
Sr		KM4	15970.20	0.77	15968.9	3.0					KM4,5	1d
Sr		KM5	15971.90	0.76	15968.9	3.0					KM4,5	1d
Th	232	L3N7	15974.8	1.7	15965.88	0.58					L3N6,7	75d
Ra	226	L1M4	15983.7	2.5	15988.2	1.5						1d
Pa	231	L3N4	15994.7	2.5								
Es	251	L3M5	16022.0	1.3								
At	210	L2N3	16024.3	2.8								
Pa	231	L3N5	16035.1	2.6	16024.6	3.1						1d
Po	209	L2N6	16053.1	1.7								
Po	209	L2N7	16058.8	1.7								
Sr		KN1	16068.8	2.1								
Po	209	L1N2	16078.5	4.9	16060	31						1d
Sr		KN2	16085.68	0.68	16084.68	0.93					KN2,3	1d
Sr		KN3	16086.84	0.41	16084.68	0.93					KN2,3	1d
Pa	231	L1M2	16103.2	3.4	16103.7	3.1						1d
Sr		KN4			16103.9	1.5					KN4,5	1d
Sr		KN5			16103.9	1.5					KN4,5	1d
Np	237	L3N1	16110.2	3.0	16113	18						1,64d
Sr		K edge	16115.26	0.23	16107.2	1.5	16105.55	0.81				1d
Fm	254	L3M4	16121.2	1.4	16122	13						74d
U	233	L3N3	16122.3	2.6								
U	238	L3N3	16122.6	2.6	16123.56	0.90						1,62d
Ra	226	L1M5	16126.1	2.5	16131.6	1.6						1d
Pa	231	L2M3	16138.8	2.5								
Th	232	L2M4	16199.8	1.6	16201.556	0.030						75d
U	238	L1M1	16210.1	3.2								
U	233	L1M1	16210.3	3.2								
Po	209	L1N3	16212.9	3.8								
Bi	209	L1N6	16224.1	2.7	16226	16					L1N6,7	1d
Bi	209	L1N7	16229.3	2.6	16226	16					L1N6,7	1d
Np	237	L2M2	16232.6	2.4	16242	21						64d
Rn	222	L2N1	16239.8	3.4								
Po	209	L2 edge	16245.83	0.59			16244.2	2.8				
At	210	L2N4	16250.2	2.8	16251.7	2.8						1d
At	210	L2N5	16277.3	2.7								
Np	237	L3N2	16283.0	4.0	16286	22						64d
Nb		KL1	16290.1	1.0								
Th	232	L3 edge	16310.27	0.47	16298.5	3.2	16300.0	2.1				1d
Pu	239	L2M1	16334.0	2.5	16332.8	3.2						1d
Pu	244	L2M1	16334.1	2.5								
Th	232	L2M5	16358.3	1.5	16358.1	1.0						75d
Pa	231	L3N6	16374.7	2.2								
Fm	254	L3M5	16381.8	1.3	16384	13						74d
Pa	231	L3N7	16383.6	1.7								
Rn	222	L2N2	16384.4	3.9								
U	233	L3N4	16386.8	2.5								
U	238	L3N4	16387.1	2.5	16385.86	0.29						1d
Bi	209	L1 edge	16395.4	1.6	16376.0	3.2	16389	12				1d
Th	232	L1M3	16425.3	3.5	16423.855	0.070						75d
U	233	L3N5	16429.7	2.6								
U	238	L3N5	16430.0	2.6	16428.44	0.29						1d
Po	209	L1N4	16433.4	3.8								
At	210	L1N1	16444.1	4.3								
Po	209	L1N5	16458.6	3.7								
Ac	227	L1M4	16476.0	2.6								
Pu	239	L3N1	16498.7	3.0	16498.42	0.65						1d
Pu	244	L3N1	16498.7	3.0								
Nb		KL2	16521.35	0.62	16521.28	0.33						1d
Np	237	L3N3	16524.6	2.6	16523	22						64d
Rn	222	L2N3	16538.4	2.9								
At	210	L2N6	16569.6	1.7								
At	210	L2N7	16575.9	1.7								
U	238	L1M2	16576.2	3.4	16575.51	0.30						1d
U	233	L1M2	16576.5	3.4								
At	210	L1N2	16585.4	4.9								
Nb		KL3	16615.65	0.56	16615.16	0.33						1d
Ac	227	L1M5	16626.3	2.5								
Y		KM1	16644.7	1.2								
U	238	L2M3	16645.3	2.6	16641.3	1.7						1d
U	233	L2M3	16645.4	2.6								
Pu	239	L3N2	16675.4	4.1								
Pu	244	L3N2	16675.5	4.1								
Np	237	L1M1	16687.5	3.3	16683	20						64d
Pa	231	L2M4	16702.7	1.6	16702.0	1.7						1d
Pu	239	L2M2	16714.8	2.4	16715.8	3.9						65d
Pu	244	L2M2	16714.8	2.4								
Y		KM2	16726.8	1.3	16725.9	1.0						1d
At	210	L1N3	16729.1	3.8								
Pa	231	L3 edge	16736.90	0.48			16732.9	2.2				
Y		KM3	16738.4	1.2	16738.08	0.67						1d
Po	209	L1N6	16743.3	2.7								
Po	209	L1N7	16749.0	2.6								
Fr	223	L2N1	16751.5	3.3								
Rn	222	L2N4	16769.4	2.7	16770.7	3.0						1d
U	233	L3N6	16777.1	2.3								
U	238	L3N6	16777.3	2.3	16786.06	0.30					L3N6,7	1d
At	210	L2 edge	16784.96	0.60			16784.7	3.0				
U	233	L3N7	16786.8	1.7								
U	238	L3N7	16787.1	1.7	16786.06	0.30					L3N6,7	1d
Np	237	L3N4	16794.8	2.6								
Rn	222	L2N5	16798.1	2.6								
Am	241	L2M1	16818.6	2.6	16819.2	1.3						66d
Am	243	L2M1	16818.7	2.6								
Np	237	L3N5	16840.3	2.6	16840.16	0.30						1d
Pa	231	L2M5	16869.9	1.5								
Y		KM4	16879.20	0.81	16879.8	3.4					KM4,5	1d
Y		KM5	16881.39	0.79	16879.8	3.4					KM4,5	1d
Am	241	L3N1	16891.3	3.0	16887.52	0.65						1,66d
Am	243	L3N1	16891.3	3.0								
Fr	223	L2N2	16900.7	4.0								
Pu	239	L3N3	16932.5	2.6								
Pu	244	L3N3	16932.5	2.6								
Pa	231	L1M3	16934.3	3.5	16930.5	1.7						1d
Po	209	L1 edge	16936.0	1.6			16911	31				
At	210	L1N4	16955.0	3.8								
Rn	222	L1N1	16959.2	4.3								
Th	232	L1M4	16979.8	2.6	16980.26	0.21						75d
At	210	L1N5	16982.0	3.7								
Y		KN1	16994.8	2.3								
Y		KN2	17012.08	0.62	17015.6	1.4					KN2,3	1d
Y		KN3	17015.30	0.49	17015.6	1.4					KN2,3	1d
Y		KN5			17036.2	1.7					KN4,5	1d
Y		KN4	17040.90	0.59	17036.2	1.7					KN4,5	1d
Y		K edge	17047.90	0.24	17036.612	0.050	17036.64	0.55				13d
Np	237	L1M2	17059.5	3.4	17060.77	0.69						1d
Fr	223	L2N3	17064.8	2.8								
Am	241	L3N2	17072.3	4.2	17068.7	3.1						66d
Am	243	L3N2	17072.3	4.2								
Rn	222	L2N6	17098.5	1.7								
Rn	222	L1N2	17103.8	4.9								
Rn	222	L2N7	17105.4	1.7								
Mo		KL1	17135.0	1.1								
Th	232	L1M5	17138.3	2.5	17138.89	0.12						75d
Np	237	L2M3	17163.8	2.6	17168	21						64d
U	233	L3 edge	17174.23	0.49								
U	238	L3 edge	17174.51	0.49	17171.37	0.50	17164.7	1.2				1,80d
Pu	244	L1M1	17176.4	3.3								
Pu	239	L1M1	17176.5	3.3	17193	26						65d
Np	237	L3N6	17195.3	2.3								
Np	237	L3N7	17206.1	1.7								
Am	241	L2M2	17207.2	2.4	17206.5	2.1						66d
Am	243	L2M2	17207.2	2.4								
Pu	239	L3N4	17208.3	2.5	17207.8	3.5						1d
Pu	244	L3N4	17208.3	2.5								
U	233	L2M4	17218.7	1.6								
U	238	L2M4	17218.7	1.6	17220.15	0.28						1d
Pu	239	L3N5	17256.6	2.5	17255.48	0.71						1d
Pu	244	L3N5	17256.6	2.5								
Rn	222	L1N3	17257.8	3.9								
At	210	L1N6	17274.3	2.7								
Ra	226	L2N1	17275.6	3.0	17274.0	1.8						1d
At	210	L1N7	17280.6	2.7								
Cm	245	L3N1	17287.8	3.1								
Cm	248	L3N1	17287.8	3.1								
Fr	223	L2N4	17301.7	2.8	17303.4	3.2						1d
Cm	245	L2M1	17315.1	2.5								
Cm	248	L2M1	17315.2	2.5								
Fr	223	L2N5	17332.8	2.8								
Rn	222	L2 edge	17337.38	0.62			17337.7	3.2				
Am	241	L3N3	17345.5	2.6	17346.2	3.2						66d
Am	243	L3N3	17345.5	2.6								
Mo		KL2	17374.18	0.62	17374.29	0.29						5d
U	233	L2M5	17395.0	1.6								
U	238	L2M5	17395.0	1.6								
Ra	226	L2N2	17429.7	4.2								
U	238	L1M3	17456.5	3.6	17455.17	0.73						1d
U	233	L1M3	17456.8	3.6								
Cm	245	L3N2	17473.0	4.3								
Cm	248	L3N2	17473.0	4.3								
Mo		KL3	17479.10	0.55	17479.372	0.010						5d
Fr	223	L1N1	17485.9	4.2								
Rn	222	L1N4	17488.8	3.7								
At	210	L1 edge	17489.7	1.6								
Pa	231	L1M4	17498.2	2.6	17491.9	7.3						1d
Rn	222	L1N5	17517.5	3.6								
Pu	244	L1M2	17557.1	3.5								
Pu	239	L1M2	17557.3	3.5	17556.23	0.72						1,65d
Zr		KM1	17568.0	1.2								
Ra	226	L2N3	17604.2	2.8	17603.6	3.7						1d
Np	237	L3 edge	17616.94	0.50	17608.04	0.50						64,79,80d
Pu	239	L3N6	17619.0	2.4	17633.7	3.7					L3N6,7	1d
Pu	244	L3N6	17619.1	2.4								
Am	241	L3N4	17627.4	2.6	17625.90	0.74						1d
Am	243	L3N4	17627.4	2.6								
Pu	239	L3N7	17631.1	1.8	17633.7	3.7					L3N6,7	1d
Pu	244	L3N7	17631.1	1.8								
Fr	223	L1N2	17635.2	5.1								
Fr	223	L2N6	17640.8	1.9								
Fr	223	L2N7	17647.8	1.8								
Zr		KM2	17654.1	1.3	17652.628	0.075						3d
Pa	231	L1M5	17665.5	2.5	17666.3	3.7						1d
Zr		KM3	17667.4	1.2	17666.578	0.076						3d
Am	243	L1M1	17677.1	3.3								
Am	241	L1M1	17677.2	3.3	17674.5	1.2						66d
Am	241	L3N5	17678.2	2.6	17676.66	0.34						1d
Am	243	L3N5	17678.2	2.6								
Bk	249	L3N1	17694.8	3.2	17697	45						70d
Bk	250	L3N1	17694.8	3.2								
Pu	239	L2M3	17700.2	2.6	17702.0	4.3						65d
Pu	244	L2M3	17700.2	2.6								
Cm	245	L2M2	17711.3	2.4								
Cm	248	L2M2	17711.3	2.4								
Np	237	L2M4	17746.9	1.6	17750.36	0.34						1d
Cm	245	L3N3	17763.3	2.6								
Cm	248	L3N3	17763.3	2.6								
Fr	223	L1N3	17799.3	3.9								
Ac	227	L2N1	17813.0	3.1								
Zr		KM4	17815.21	0.83	17816.1	3.8					KM4,5	1d
Rn	222	L1N6	17817.9	2.7								
Zr		KM5	17817.98	0.81	17816.1	3.8					KM4,5	1d
Bk	249	L2M1	17824.8	2.5	17829	40						70d
Bk	250	L2M1	17824.8	2.5								
Rn	222	L1N7	17824.8	2.7								
Ra	226	L2N4	17847.6	3.0	17848.7	1.9						1d
Ra	226	L2N5	17880.9	3.0	17885.5	3.8						1d
Bk	249	L3N2	17884.4	4.4								
Bk	250	L3N2	17884.4	4.4								
Fr	223	L2 edge	17907.94	0.64			17906.4	3.4				
Np	237	L2M5	17932.7	1.6	17938	28						64d
Zr		KN1	17948.5	2.5								
Zr		KN2	17966.67	0.73	17970.3	1.5					KN2,3	1d
Ac	227	L2N2	17970.5	4.1								
Zr		KN3	17971.47	0.56	17970.3	1.5					KN2,3	1d
Np	237	L1M3	17990.8	3.6	17989.3	3.5						1d
Zr		KN5			17994.3	1.9					KN4,5	1d
Zr		KN4	18000.09	0.75	17994.3	1.9					KN4,5	1d
Tc		KL1	18003.8	1.1								
Zr		K edge	18008.15	0.26	17995.872	0.080	17996.22	0.79				13d
Ra	226	L1N1	18025.3	4.0	18036.4	3.9						1d
U	238	L1M4	18029.8	2.6	18031.2	1.9						1d
U	233	L1M4	18030.1	2.6								
Fr	223	L1N4	18036.2	3.9								
Am	241	L3N6	18048.4	2.4								
Am	243	L3N6	18048.4	2.4								
Cm	245	L3N4	18051.1	2.7								
Cm	248	L3N4	18051.1	2.7								
Rn	222	L1 edge	18056.8	1.6								
Pu	239	L3 edge	18060.02	0.51	18060	10						65d
Pu	244	L3 edge	18060.10	0.51	18055.99	0.35						1,80d
Am	241	L3N7	18061.3	1.8								
Am	243	L3N7	18061.3	1.8								
Am	243	L1M2	18065.6	3.5								
Am	241	L1M2	18065.7	3.5	18062.96	0.78						1d
Fr	223	L1N5	18067.3	3.8								
Cm	245	L3N5	18104.8	2.6								
Cm	248	L3N5	18104.8	2.6								
Cf	251	L3N1	18110.1	3.2	18128	37						72d
Cf	250	L3N1	18110.3	3.2	18090.8	8.5						71d
Cf	249	L3N1	18110.4	3.2								
Ac	227	L2N3	18157.6	2.9								
Ra	226	L1N2	18179.4	5.2	18179.5	2.0						1d
Cm	248	L1M1	18189.5	3.3								
Cm	245	L1M1	18189.6	3.3								
Bk	249	L3N3	18192.5	2.7								
Bk	250	L3N3	18192.5	2.7								
Ra	226	L2N6	18196.2	2.1								
Ra	226	L2N7	18203.5	1.8								
U	238	L1M5	18206.1	2.6	18205.55	0.32						1d
U	233	L1M5	18206.5	2.6								
Bk	249	L2M2	18228.6	2.5	18238	53						70d
Bk	250	L2M2	18228.6	2.5								
Am	241	L2M3	18248.9	2.6	18250.0	4.1						66d
Am	243	L2M3	18248.9	2.6								
Tc		KL2	18251.28	0.65	18250.9	1.2						1d
Pu	239	L2M4	18292.8	1.6	18294.03	0.80						1d
Pu	244	L2M4	18292.8	1.6								
Cf	251	L3N2	18304.1	4.5	18278	18						72d
Cf	250	L3N2	18304.2	4.5	18295.8	8.4						71d
Cf	249	L3N2	18304.4	4.5								
Ra	226	L1N3	18353.9	3.8	18357.4	2.0						1d
Cf	251	L2M1	18355.1	2.4	18366	12						72d
Cf	250	L2M1	18355.3	2.4	18347.1	8.7						71d
Cf	249	L2M1	18355.4	2.4								
Th	232	L2N1	18363.3	3.1	18364.35	0.11						75d
Tc		KL3	18367.56	0.58	18367.2	1.2						1d
Fr	223	L1N6	18375.3	3.0								
Fr	223	L1N7	18382.3	2.8								
Ac	227	L2N4	18405.5	2.8	18408.4	3.6						1d
Ac	227	L2N5	18441.0	2.8								
Cm	245	L3N6	18482.6	2.4								
Cm	248	L3N6	18482.7	2.4								
Bk	249	L3N4	18486.4	2.7								
Bk	250	L3N4	18486.4	2.7								
Pu	239	L2M5	18488.5	1.6								
Pu	244	L2M5	18488.5	1.6								
Ra	226	L2 edge	18492.61	0.67	18485.5	4.1	18483.8	3.3				1d
Cm	245	L3N7	18496.6	1.8								
Cm	248	L3N7	18496.6	1.8								
Es	251	L3N1	18512.5	3.3								
Am	243	L3 edge	18514.37	0.50								
Am	241	L3 edge	18514.38	0.50	18510.0	3.0						66d
Nb		KM1	18518.9	1.2								
Th	232	L2N2	18524.5	4.1								
Pu	244	L1M3	18542.5	3.7								
Pu	239	L1M3	18542.7	3.7	18540.52	0.81						1,65d
Bk	249	L3N5	18542.8	2.6								
Bk	250	L3N5	18542.8	2.6								
Np	237	L1M4	18573.9	2.7								
Ac	227	L1N1	18578.2	4.0								
Cm	248	L1M2	18585.5	3.5								
Cm	245	L1M2	18585.7	3.5								
Ra	226	L1N4	18597.3	4.0	18599.2	4.1						1d
Nb		KM2	18608.8	1.4	18606.5	1.2						1d
Nb		KM3	18624.0	1.2	18622.68	0.83						1d
Ra	226	L1N5	18630.6	4.0	18632.8	4.1						1d
Cf	251	L3N3	18631.1	2.7	18610	18						72d
Cf	250	L3N3	18631.2	2.7	18613.9	8.4						71d
Cf	249	L3N3	18631.4	2.7								
Fr	223	L1 edge	18642.4	1.7								
Es	251	L3N2	18710.8	4.6								
Bk	250	L1M1	18715.0	3.4								
Bk	249	L1M1	18715.1	3.4	18719	40						70d
Th	232	L2N3	18724.2	2.9	18728.4	4.2						1d
Ac	227	L1N2	18735.6	5.1								
Np	237	L1M5	18759.6	2.6	18757	27						64d
Ac	227	L2N6	18765.1	2.2								
Cf	251	L2M2	18766.6	2.5	18772	19						72d
Cf	250	L2M2	18766.9	2.5	18767.3	6.1						71d
Cf	249	L2M2	18767.0	2.5								
Ac	227	L2N7	18772.7	1.9								
Nb		KM4	18778.45	0.87								
Nb		KM5	18782.22	0.85								
Cm	245	L2M3	18812.5	2.6								
Cm	248	L2M3	18812.5	2.6								
Am	241	L2M4	18851.6	1.7	18852.18	0.38						1d
Am	243	L2M4	18851.6	1.7								
Es	251	L2M1	18892.2	2.4								
Ru		KL1	18895.0	1.1								
Ac	227	L1N3	18922.8	3.8								
Fm	254	L3N1	18926.2	3.4	18928	13						74d
Bk	249	L3N6	18928.7	2.4								
Bk	250	L3N6	18928.7	2.4								
Nb		KN1	18930.5	2.6								
Cf	251	L3N4	18931.0	2.8								
Cf	250	L3N4	18931.2	2.8								
Cf	249	L3N4	18931.4	2.8								
Pa	231	L2N1	18939.6	3.1	18928.6	4.3						1d
Bk	249	L3N7	18943.3	1.8								
Bk	250	L3N7	18943.3	1.8								
Ra	226	L1N6	18945.9	3.0								
Nb		KN2	18948.34	0.90	18952.9	1.7					KN2,3	1d
Ra	226	L1N7	18953.1	2.8								
Nb		KN3	18955.56	0.63	18952.9	1.7					KN2,3	1d
Th	232	L2N4	18977.6	2.8	18978.259	0.020						75d
Cm	245	L3 edge	18979.68	0.50	18970	11						68d
Cm	248	L3 edge	18979.69	0.50								
Nb		KN5			18981.3	2.2					KN4,5	1d
Nb		KN4	18985.99	0.83	18981.3	2.2					KN4,5	1d
Cf	251	L3N5	18990.4	2.6								
Cf	250	L3N5	18990.6	2.6								
Nb		K edge	18990.67	0.27	18982.961	0.040	18983.61	0.85				13d
Cf	249	L3N5	18990.7	2.6								
Th	232	L2N5	19015.5	2.8	19012.8	4.3						1d
Am	243	L2M5	19057.1	1.6								
Am	241	L2M5	19057.2	1.6								
Es	251	L3N3	19057.8	2.7								
Ac	227	L2 edge	19090.04	0.69			19083.4	3.8				
Pa	231	L2N2	19104.1	4.2								
Am	243	L1M3	19107.3	3.7								
Am	241	L1M3	19107.4	3.7	19106.24	0.87						1d
Bk	250	L1M2	19118.8	3.6								
Bk	249	L1M2	19118.9	3.6	19128	53						70d
Fm	254	L3N2	19128.8	4.8	19125	11						74d
Pu	244	L1M4	19135.1	2.7								
Pu	239	L1M4	19135.3	2.7	19127.2	4.4						1d
Th	232	L1N1	19143.3	4.1	19146.4	2.2						1d
Ru		KL2	19150.67	0.66	19150.49	0.18						1,5d
Ac	227	L1N4	19170.6	3.8								
Ac	227	L1N5	19206.2	3.8								
Ra	226	L1 edge	19242.3	1.7	19237.0	4.4	19237.5	4.6				1d
Cf	251	L1M1	19261.3	3.3	19259	14						72d
Cf	250	L1M1	19261.7	3.3	19257.6	8.6						71d
Cf	249	L1M1	19261.8	3.3								
Ru		KL3	19279.51	0.60	19279.16	0.18						1,5d
Th	232	L1N2	19304.5	5.1	19302.987	0.050						75d
Es	251	L2M2	19311.6	2.5								
Pa	231	L2N3	19317.0	2.9								
